TIME,RE,LE
2022-01-19 14:12:53.0000,0.0,0.0
2022-01-19 14:12:53.0006,0.1,-0.3
2022-01-19 14:12:53.0012,0.0,-0.5
2022-01-19 14:12:53.0018,0.0,-0.5
2022-01-19 14:12:53.0024,0.1,-0.2
2022-01-19 14:12:53.0030,0.4,0.0
2022-01-19 14:12:53.0035,0.6,0.2
2022-01-19 14:12:53.0041,0.6,0.4
2022-01-19 14:12:53.0047,0.6,0.4
2022-01-19 14:12:53.0053,0.6,0.5
2022-01-19 14:12:53.0059,0.6,0.4
2022-01-19 14:12:53.0065,0.6,0.3
2022-01-19 14:12:53.0071,0.7,0.1
2022-01-19 14:12:53.0077,0.6,-0.1
2022-01-19 14:12:53.0083,0.7,-0.1
2022-01-19 14:12:53.0089,0.8,-0.4
2022-01-19 14:12:53.0094,0.6,-0.5
2022-01-19 14:12:53.0100,0.6,-0.6
2022-01-19 14:12:53.0106,0.5,-0.6
2022-01-19 14:12:53.0112,0.6,-0.5
2022-01-19 14:12:53.0118,0.7,-0.4
2022-01-19 14:12:53.0124,0.8,-0.6
2022-01-19 14:12:53.0130,0.8,-0.6
2022-01-19 14:12:53.0136,0.9,-0.6
2022-01-19 14:12:53.0142,1.0,-0.6
2022-01-19 14:12:53.0148,1.0,-0.8
2022-01-19 14:12:53.0153,1.0,-0.8
2022-01-19 14:12:53.0159,0.8,-0.9
2022-01-19 14:12:53.0165,0.7,-0.8
2022-01-19 14:12:53.0171,0.5,-0.8
2022-01-19 14:12:53.0177,0.2,-0.9
2022-01-19 14:12:53.0183,0.1,-1.0
2022-01-19 14:12:53.0189,0.1,-1.1
2022-01-19 14:12:53.0195,0.0,-1.2
2022-01-19 14:12:53.0201,0.1,-1.3
2022-01-19 14:12:53.0207,0.1,-1.2
2022-01-19 14:12:53.0212,0.0,-1.2
2022-01-19 14:12:53.0218,0.0,-1.1
2022-01-19 14:12:53.0224,0.0,-0.9
2022-01-19 14:12:53.0230,0.1,-0.7
2022-01-19 14:12:53.0236,0.2,-0.7
2022-01-19 14:12:53.0242,0.3,-0.8
