TIME,RE,LE
2019-02-07 10:53:05.0000,0.0,0.0
2019-02-07 10:53:05.0006,-2.8,-2.5
2019-02-07 10:53:05.0012,-2.8,-2.7
2019-02-07 10:53:05.0018,-2.7,-2.9
2019-02-07 10:53:05.0024,-2.5,-2.9
2019-02-07 10:53:05.0030,-2.5,-2.9
2019-02-07 10:53:05.0035,-2.6,-2.9
2019-02-07 10:53:05.0041,-2.5,-2.7
2019-02-07 10:53:05.0047,-2.4,-2.5
2019-02-07 10:53:05.0053,-2.2,-2.3
2019-02-07 10:53:05.0059,-2.1,-2.2
2019-02-07 10:53:05.0065,-2.1,-2.1
2019-02-07 10:53:05.0071,-2.0,-1.9
2019-02-07 10:53:05.0077,-2.0,-1.7
2019-02-07 10:53:05.0083,-1.9,-1.5
2019-02-07 10:53:05.0089,-1.9,-1.6
2019-02-07 10:53:05.0094,-2.1,-1.8
2019-02-07 10:53:05.0100,-2.3,-1.8
2019-02-07 10:53:05.0106,-2.4,-1.7
2019-02-07 10:53:05.0112,-2.7,-1.7
2019-02-07 10:53:05.0118,-2.8,-1.7
2019-02-07 10:53:05.0124,-2.8,-1.6
2019-02-07 10:53:05.0130,-2.7,-1.5
2019-02-07 10:53:05.0136,-2.8,-1.3
2019-02-07 10:53:05.0142,-2.9,-1.3
2019-02-07 10:53:05.0148,-2.9,-1.4
2019-02-07 10:53:05.0153,-2.9,-1.3
2019-02-07 10:53:05.0159,-3.0,-1.4
2019-02-07 10:53:05.0165,-3.0,-1.5
2019-02-07 10:53:05.0171,-3.2,-1.7
2019-02-07 10:53:05.0177,-3.7,-2.0
2019-02-07 10:53:05.0183,-3.7,-2.1
2019-02-07 10:53:05.0189,-3.6,-2.1
2019-02-07 10:53:05.0195,-3.4,-2.0
2019-02-07 10:53:05.0201,-3.0,-2.1
2019-02-07 10:53:05.0207,-2.9,-2.1
2019-02-07 10:53:05.0212,-2.7,-2.1
2019-02-07 10:53:05.0218,-2.5,-2.3
2019-02-07 10:53:05.0224,-2.2,-2.4
2019-02-07 10:53:05.0230,-2.2,-2.6
2019-02-07 10:53:05.0236,-2.2,-2.8
2019-02-07 10:53:05.0242,-2.3,-2.9
2019-02-07 10:53:05.0248,-2.3,-2.9
2019-02-07 10:53:05.0254,-2.3,-3.0
2019-02-07 10:53:05.0260,-2.6,-3.1
2019-02-07 10:53:05.0266,-2.7,-3.1
2019-02-07 10:53:05.0272,-2.6,-2.9
2019-02-07 10:53:05.0277,-2.5,-2.6
2019-02-07 10:53:05.0283,-2.4,-2.3
2019-02-07 10:53:05.0289,-2.3,-2.1
2019-02-07 10:53:05.0295,-2.1,-1.9
2019-02-07 10:53:05.0301,-2.3,-1.8
2019-02-07 10:53:05.0307,-2.3,-1.6
2019-02-07 10:53:05.0313,-2.5,-1.6
2019-02-07 10:53:05.0319,-2.7,-1.5
2019-02-07 10:53:05.0325,-2.8,-1.4
2019-02-07 10:53:05.0331,-2.7,-1.2
2019-02-07 10:53:05.0336,-2.8,-1.2
2019-02-07 10:53:05.0342,-2.8,-1.2
2019-02-07 10:53:05.0348,-2.9,-1.1
2019-02-07 10:53:05.0354,-2.7,-0.9
2019-02-07 10:53:05.0360,-2.4,-0.7
2019-02-07 10:53:05.0366,-2.1,-0.5
2019-02-07 10:53:05.0372,-1.8,-0.4
2019-02-07 10:53:05.0378,-1.4,-0.2
2019-02-07 10:53:05.0384,-0.9,0.0
2019-02-07 10:53:05.0390,-0.2,0.2
2019-02-07 10:53:05.0395,0.4,0.3
2019-02-07 10:53:05.0401,0.8,0.2
2019-02-07 10:53:05.0407,1.2,0.1
2019-02-07 10:53:05.0413,1.5,0.0
2019-02-07 10:53:05.0419,1.7,-0.2
2019-02-07 10:53:05.0425,1.6,-0.7
2019-02-07 10:53:05.0431,1.5,-1.0
2019-02-07 10:53:05.0437,1.4,-1.0
2019-02-07 10:53:05.0443,1.5,-0.7
2019-02-07 10:53:05.0449,1.8,-0.4
2019-02-07 10:53:05.0455,2.1,0.1
2019-02-07 10:53:05.0460,2.2,0.4
2019-02-07 10:53:05.0466,2.5,1.0
2019-02-07 10:53:05.0472,2.9,1.4
2019-02-07 10:53:05.0478,3.3,1.8
2019-02-07 10:53:05.0484,3.6,1.9
2019-02-07 10:53:05.0490,3.9,2.1
2019-02-07 10:53:05.0496,4.3,2.1
2019-02-07 10:53:05.0502,4.5,2.1
2019-02-07 10:53:05.0508,4.5,1.9
2019-02-07 10:53:05.0514,4.4,1.8
2019-02-07 10:53:05.0519,4.2,1.8
2019-02-07 10:53:05.0525,4.2,1.7
2019-02-07 10:53:05.0531,4.0,1.7
2019-02-07 10:53:05.0537,3.9,1.5
2019-02-07 10:53:05.0543,3.7,1.5
2019-02-07 10:53:05.0549,3.5,1.3
2019-02-07 10:53:05.0555,3.3,1.2
2019-02-07 10:53:05.0561,3.3,1.0
2019-02-07 10:53:05.0567,3.2,0.8
2019-02-07 10:53:05.0573,3.3,0.5
2019-02-07 10:53:05.0578,3.3,0.2
2019-02-07 10:53:05.0584,3.3,0.0
2019-02-07 10:53:05.0590,3.3,-0.4
2019-02-07 10:53:05.0596,3.0,-0.6
2019-02-07 10:53:05.0602,2.9,-0.9
2019-02-07 10:53:05.0608,2.6,-1.1
2019-02-07 10:53:05.0614,2.5,-1.4
2019-02-07 10:53:05.0620,2.3,-1.7
2019-02-07 10:53:05.0626,2.1,-2.0
2019-02-07 10:53:05.0632,2.0,-2.3
2019-02-07 10:53:05.0637,1.8,-2.4
2019-02-07 10:53:05.0643,1.7,-2.5
2019-02-07 10:53:05.0649,1.8,-2.4
2019-02-07 10:53:05.0655,1.7,-2.4
2019-02-07 10:53:05.0661,1.7,-2.4
2019-02-07 10:53:05.0667,1.7,-2.3
2019-02-07 10:53:05.0673,1.4,-2.2
2019-02-07 10:53:05.0679,1.2,-2.1
2019-02-07 10:53:05.0685,1.1,-2.1
2019-02-07 10:53:05.0691,0.9,-1.7
2019-02-07 10:53:05.0697,0.7,-1.6
2019-02-07 10:53:05.0702,0.5,-1.6
2019-02-07 10:53:05.0708,0.3,-1.5
2019-02-07 10:53:05.0714,0.0,-1.6
2019-02-07 10:53:05.0720,-0.3,-1.7
2019-02-07 10:53:05.0726,-0.5,-1.7
2019-02-07 10:53:05.0732,-0.6,-1.7
2019-02-07 10:53:05.0738,-0.8,-1.7
2019-02-07 10:53:05.0744,-1.1,-1.6
2019-02-07 10:53:05.0750,-1.4,-1.9
2019-02-07 10:53:05.0756,-1.7,-2.1
2019-02-07 10:53:05.0761,-2.0,-2.3
2019-02-07 10:53:05.0767,-2.1,-2.5
2019-02-07 10:53:05.0773,-2.1,-2.9
2019-02-07 10:53:05.0779,-2.2,-3.1
2019-02-07 10:53:05.0785,-2.1,-3.2
2019-02-07 10:53:05.0791,-2.0,-3.2
2019-02-07 10:53:05.0797,-2.0,-3.4
2019-02-07 10:53:05.0803,-2.0,-3.6
2019-02-07 10:53:05.0809,-2.1,-3.9
2019-02-07 10:53:05.0815,-2.1,-4.1
2019-02-07 10:53:05.0820,-2.1,-4.4
2019-02-07 10:53:05.0826,-2.1,-4.7
2019-02-07 10:53:05.0832,-2.4,-5.1
2019-02-07 10:53:05.0838,-2.7,-5.5
2019-02-07 10:53:05.0844,-3.0,-5.8
2019-02-07 10:53:05.0850,-3.1,-5.7
2019-02-07 10:53:05.0856,-3.3,-5.6
2019-02-07 10:53:05.0862,-3.2,-5.6
2019-02-07 10:53:05.0868,-3.2,-5.4
2019-02-07 10:53:05.0874,-3.0,-5.0
2019-02-07 10:53:05.0880,-2.9,-4.6
2019-02-07 10:53:05.0885,-2.9,-4.3
2019-02-07 10:53:05.0891,-2.9,-4.1
2019-02-07 10:53:05.0897,-3.0,-3.7
2019-02-07 10:53:05.0903,-3.1,-3.6
2019-02-07 10:53:05.0909,-3.3,-3.6
2019-02-07 10:53:05.0915,-3.5,-3.8
2019-02-07 10:53:05.0921,-3.9,-4.1
2019-02-07 10:53:05.0927,-4.3,-4.3
2019-02-07 10:53:05.0933,-4.6,-4.2
2019-02-07 10:53:05.0939,-4.8,-4.2
2019-02-07 10:53:05.0944,-4.9,-4.2
2019-02-07 10:53:05.0950,-5.2,-4.3
2019-02-07 10:53:05.0956,-5.4,-4.3
2019-02-07 10:53:05.0962,-5.5,-4.5
2019-02-07 10:53:05.0968,-5.5,-4.7
2019-02-07 10:53:05.0974,-5.7,-4.9
2019-02-07 10:53:05.0980,-5.7,-5.1
2019-02-07 10:53:05.0986,-5.7,-5.1
2019-02-07 10:53:05.0992,-5.5,-5.0
2019-02-07 10:53:05.0998,-5.5,-5.1
2019-02-07 10:53:05.1003,-5.6,-5.3
2019-02-07 10:53:05.1009,-5.7,-5.5
2019-02-07 10:53:05.1015,-5.8,-5.7
2019-02-07 10:53:05.1021,-5.7,-5.7
2019-02-07 10:53:05.1027,-5.7,-5.9
2019-02-07 10:53:05.1033,-5.6,-6.0
2019-02-07 10:53:05.1039,-5.5,-6.0
2019-02-07 10:53:05.1045,-5.5,-5.9
2019-02-07 10:53:05.1051,-5.3,-5.8
2019-02-07 10:53:05.1057,-5.1,-5.7
2019-02-07 10:53:05.1062,-5.0,-5.5
2019-02-07 10:53:05.1068,-4.8,-5.3
2019-02-07 10:53:05.1074,-4.6,-4.9
2019-02-07 10:53:05.1080,-4.5,-4.8
2019-02-07 10:53:05.1086,-4.4,-4.9
2019-02-07 10:53:05.1092,-4.8,-5.0
2019-02-07 10:53:05.1098,-5.0,-5.0
2019-02-07 10:53:05.1104,-5.2,-5.0
2019-02-07 10:53:05.1110,-5.3,-5.0
2019-02-07 10:53:05.1116,-5.5,-5.0
2019-02-07 10:53:05.1122,-5.9,-4.8
2019-02-07 10:53:05.1127,-5.9,-4.6
2019-02-07 10:53:05.1133,-6.0,-4.4
2019-02-07 10:53:05.1139,-6.1,-4.2
2019-02-07 10:53:05.1145,-6.3,-4.2
2019-02-07 10:53:05.1151,-6.4,-4.2
2019-02-07 10:53:05.1157,-6.4,-4.2
2019-02-07 10:53:05.1163,-6.4,-4.4
2019-02-07 10:53:05.1169,-6.4,-4.7
2019-02-07 10:53:05.1175,-6.5,-5.0
2019-02-07 10:53:05.1181,-6.5,-5.2
2019-02-07 10:53:05.1186,-6.3,-5.1
2019-02-07 10:53:05.1192,-6.1,-5.1
