TIME,RE,LE
2021-08-28 11:58:13.0000,0.0,0.0
2021-08-28 11:58:13.0006,0.0,-0.1
2021-08-28 11:58:13.0012,0.0,-0.3
2021-08-28 11:58:13.0018,0.2,-0.2
2021-08-28 11:58:13.0024,0.3,-0.2
2021-08-28 11:58:13.0030,0.3,-0.2
2021-08-28 11:58:13.0035,0.3,-0.2
2021-08-28 11:58:13.0041,0.4,-0.1
2021-08-28 11:58:13.0047,0.5,-0.1
2021-08-28 11:58:13.0053,0.6,-0.2
2021-08-28 11:58:13.0059,0.8,-0.2
2021-08-28 11:58:13.0065,1.0,-0.2
2021-08-28 11:58:13.0071,1.1,-0.3
2021-08-28 11:58:13.0077,1.2,-0.5
2021-08-28 11:58:13.0083,1.3,-0.4
2021-08-28 11:58:13.0089,1.3,-0.3
2021-08-28 11:58:13.0094,1.1,-0.3
2021-08-28 11:58:13.0100,1.2,-0.2
2021-08-28 11:58:13.0106,1.2,-0.1
2021-08-28 11:58:13.0112,1.1,-0.1
2021-08-28 11:58:13.0118,1.2,-0.2
2021-08-28 11:58:13.0124,1.3,-0.2
2021-08-28 11:58:13.0130,1.4,-0.2
2021-08-28 11:58:13.0136,1.4,-0.1
2021-08-28 11:58:13.0142,1.5,0.0
2021-08-28 11:58:13.0148,1.6,0.1
2021-08-28 11:58:13.0153,1.7,0.2
2021-08-28 11:58:13.0159,1.9,0.3
2021-08-28 11:58:13.0165,2.0,0.3
2021-08-28 11:58:13.0171,2.1,0.3
2021-08-28 11:58:13.0177,2.1,0.3
2021-08-28 11:58:13.0183,2.1,0.4
2021-08-28 11:58:13.0189,2.1,0.4
2021-08-28 11:58:13.0195,2.0,0.5
2021-08-28 11:58:13.0201,1.9,0.6
2021-08-28 11:58:13.0207,1.8,0.6
2021-08-28 11:58:13.0212,1.9,0.6
2021-08-28 11:58:13.0218,1.8,0.4
2021-08-28 11:58:13.0224,2.0,0.3
2021-08-28 11:58:13.0230,2.0,0.0
2021-08-28 11:58:13.0236,2.1,-0.2
2021-08-28 11:58:13.0242,2.2,-0.3
2021-08-28 11:58:13.0248,2.3,-0.4
2021-08-28 11:58:13.0254,2.3,-0.5
2021-08-28 11:58:13.0260,2.1,-0.7
2021-08-28 11:58:13.0266,2.1,-0.7
2021-08-28 11:58:13.0272,2.1,-0.7
2021-08-28 11:58:13.0277,2.1,-0.7
2021-08-28 11:58:13.0283,2.1,-0.6
2021-08-28 11:58:13.0289,2.3,-0.6
2021-08-28 11:58:13.0295,2.3,-0.5
2021-08-28 11:58:13.0301,2.3,-0.6
2021-08-28 11:58:13.0307,2.3,-0.6
2021-08-28 11:58:13.0313,2.3,-0.8
2021-08-28 11:58:13.0319,2.3,-0.9
2021-08-28 11:58:13.0325,2.3,-1.0
2021-08-28 11:58:13.0331,2.2,-0.9
2021-08-28 11:58:13.0336,2.3,-0.9
2021-08-28 11:58:13.0342,2.2,-0.9
2021-08-28 11:58:13.0348,2.3,-0.9
2021-08-28 11:58:13.0354,2.3,-0.8
2021-08-28 11:58:13.0360,2.3,-0.7
2021-08-28 11:58:13.0366,2.4,-0.8
2021-08-28 11:58:13.0372,2.5,-0.8
2021-08-28 11:58:13.0378,2.7,-0.9
2021-08-28 11:58:13.0384,2.7,-1.0
2021-08-28 11:58:13.0390,2.8,-1.1
2021-08-28 11:58:13.0395,2.7,-1.2
2021-08-28 11:58:13.0401,2.6,-1.1
2021-08-28 11:58:13.0407,2.5,-1.1
2021-08-28 11:58:13.0413,2.3,-1.1
2021-08-28 11:58:13.0419,2.2,-1.1
2021-08-28 11:58:13.0425,2.1,-1.3
2021-08-28 11:58:13.0431,2.2,-1.4
2021-08-28 11:58:13.0437,2.3,-1.5
2021-08-28 11:58:13.0443,2.4,-1.5
2021-08-28 11:58:13.0449,2.5,-1.5
2021-08-28 11:58:13.0455,2.5,-1.5
2021-08-28 11:58:13.0460,2.4,-1.5
2021-08-28 11:58:13.0466,2.4,-1.6
2021-08-28 11:58:13.0472,2.4,-1.7
2021-08-28 11:58:13.0478,2.5,-1.9
2021-08-28 11:58:13.0484,2.5,-2.0
2021-08-28 11:58:13.0490,2.6,-2.0
2021-08-28 11:58:13.0496,2.6,-1.9
2021-08-28 11:58:13.0502,2.6,-1.9
2021-08-28 11:58:13.0508,2.5,-1.8
2021-08-28 11:58:13.0514,2.5,-1.9
2021-08-28 11:58:13.0519,2.4,-1.9
2021-08-28 11:58:13.0525,2.4,-1.8
2021-08-28 11:58:13.0531,2.4,-1.8
2021-08-28 11:58:13.0537,2.3,-1.7
2021-08-28 11:58:13.0543,2.4,-1.6
2021-08-28 11:58:13.0549,2.4,-1.5
2021-08-28 11:58:13.0555,2.5,-1.5
2021-08-28 11:58:13.0561,2.5,-1.5
2021-08-28 11:58:13.0567,2.5,-1.4
2021-08-28 11:58:13.0573,2.5,-1.6
2021-08-28 11:58:13.0578,2.5,-1.7
2021-08-28 11:58:13.0584,2.4,-1.9
2021-08-28 11:58:13.0590,2.2,-2.1
2021-08-28 11:58:13.0596,2.1,-2.3
2021-08-28 11:58:13.0602,2.1,-2.4
2021-08-28 11:58:13.0608,2.1,-2.6
2021-08-28 11:58:13.0614,2.2,-2.7
2021-08-28 11:58:13.0620,2.4,-2.8
2021-08-28 11:58:13.0626,2.6,-3.0
2021-08-28 11:58:13.0632,2.8,-3.1
2021-08-28 11:58:13.0637,2.7,-3.1
2021-08-28 11:58:13.0643,2.5,-3.2
2021-08-28 11:58:13.0649,2.2,-3.3
2021-08-28 11:58:13.0655,2.0,-3.5
2021-08-28 11:58:13.0661,1.7,-3.7
2021-08-28 11:58:13.0667,1.4,-3.9
2021-08-28 11:58:13.0673,1.3,-4.1
2021-08-28 11:58:13.0679,1.5,-4.3
2021-08-28 11:58:13.0685,1.7,-4.2
2021-08-28 11:58:13.0691,1.8,-4.2
2021-08-28 11:58:13.0697,2.1,-4.1
