TIME,RE,LE
2007-12-20 13:04:17.0000,0.0,0.0
2007-12-20 13:04:17.0006,0.0,-0.2
2007-12-20 13:04:17.0012,0.0,-0.3
2007-12-20 13:04:17.0018,0.2,-0.2
2007-12-20 13:04:17.0024,0.3,0.0
2007-12-20 13:04:17.0030,0.5,0.2
2007-12-20 13:04:17.0035,0.5,0.4
2007-12-20 13:04:17.0041,0.8,0.6
2007-12-20 13:04:17.0047,0.9,0.9
2007-12-20 13:04:17.0053,1.3,0.9
2007-12-20 13:04:17.0059,1.5,1.0
2007-12-20 13:04:17.0065,1.7,1.1
2007-12-20 13:04:17.0071,1.9,1.2
2007-12-20 13:04:17.0077,2.1,1.4
2007-12-20 13:04:17.0083,2.4,1.5
2007-12-20 13:04:17.0089,2.6,1.3
2007-12-20 13:04:17.0094,2.7,1.3
2007-12-20 13:04:17.0100,2.7,1.2
2007-12-20 13:04:17.0106,2.7,1.1
2007-12-20 13:04:17.0112,2.6,1.1
2007-12-20 13:04:17.0118,2.4,1.1
2007-12-20 13:04:17.0124,2.3,1.1
2007-12-20 13:04:17.0130,2.1,0.9
2007-12-20 13:04:17.0136,2.0,0.9
2007-12-20 13:04:17.0142,1.8,0.8
2007-12-20 13:04:17.0148,1.5,0.7
2007-12-20 13:04:17.0153,1.4,0.6
2007-12-20 13:04:17.0159,1.1,0.6
2007-12-20 13:04:17.0165,0.7,0.5
2007-12-20 13:04:17.0171,0.5,0.4
2007-12-20 13:04:17.0177,0.4,0.2
2007-12-20 13:04:17.0183,0.1,0.1
2007-12-20 13:04:17.0189,0.0,0.0
2007-12-20 13:04:17.0195,-0.2,0.1
2007-12-20 13:04:17.0201,-0.3,0.2
2007-12-20 13:04:17.0207,-0.2,0.4
2007-12-20 13:04:17.0212,0.0,0.6
2007-12-20 13:04:17.0218,0.1,0.7
2007-12-20 13:04:17.0224,0.3,0.9
2007-12-20 13:04:17.0230,0.4,0.9
2007-12-20 13:04:17.0236,0.5,1.1
2007-12-20 13:04:17.0242,0.7,1.1
2007-12-20 13:04:17.0248,1.0,1.3
2007-12-20 13:04:17.0254,1.1,1.2
2007-12-20 13:04:17.0260,1.4,1.2
2007-12-20 13:04:17.0266,1.5,1.2
2007-12-20 13:04:17.0272,1.5,1.3
2007-12-20 13:04:17.0277,1.7,1.4
2007-12-20 13:04:17.0283,1.8,1.5
2007-12-20 13:04:17.0289,1.9,1.5
2007-12-20 13:04:17.0295,2.0,1.5
2007-12-20 13:04:17.0301,2.0,1.4
2007-12-20 13:04:17.0307,2.1,1.2
2007-12-20 13:04:17.0313,2.1,1.1
2007-12-20 13:04:17.0319,2.0,1.0
2007-12-20 13:04:17.0325,1.9,0.9
2007-12-20 13:04:17.0331,1.8,0.7
2007-12-20 13:04:17.0336,1.6,0.5
2007-12-20 13:04:17.0342,1.3,0.2
2007-12-20 13:04:17.0348,1.0,0.1
2007-12-20 13:04:17.0354,0.8,0.0
2007-12-20 13:04:17.0360,0.4,0.0
2007-12-20 13:04:17.0366,0.1,0.0
2007-12-20 13:04:17.0372,0.0,0.0
2007-12-20 13:04:17.0378,-0.1,0.1
2007-12-20 13:04:17.0384,-0.3,0.1
2007-12-20 13:04:17.0390,-0.3,0.2
2007-12-20 13:04:17.0395,-0.4,0.2
2007-12-20 13:04:17.0401,-0.4,0.2
2007-12-20 13:04:17.0407,-0.3,0.3
2007-12-20 13:04:17.0413,-0.3,0.5
2007-12-20 13:04:17.0419,0.0,0.4
2007-12-20 13:04:17.0425,0.0,0.4
2007-12-20 13:04:17.0431,0.2,0.5
2007-12-20 13:04:17.0437,0.4,0.5
2007-12-20 13:04:17.0443,0.5,0.7
2007-12-20 13:04:17.0449,0.8,0.9
2007-12-20 13:04:17.0455,1.0,1.0
2007-12-20 13:04:17.0460,1.3,1.0
2007-12-20 13:04:17.0466,1.6,1.3
2007-12-20 13:04:17.0472,1.6,1.3
2007-12-20 13:04:17.0478,1.8,1.5
2007-12-20 13:04:17.0484,2.0,1.6
2007-12-20 13:04:17.0490,2.0,1.7
2007-12-20 13:04:17.0496,2.1,1.7
2007-12-20 13:04:17.0502,2.1,1.7
2007-12-20 13:04:17.0508,2.1,1.7
2007-12-20 13:04:17.0514,2.0,1.6
2007-12-20 13:04:17.0519,2.0,1.5
2007-12-20 13:04:17.0525,2.0,1.4
2007-12-20 13:04:17.0531,2.1,1.3
2007-12-20 13:04:17.0537,2.0,1.2
2007-12-20 13:04:17.0543,1.8,1.1
2007-12-20 13:04:17.0549,1.6,1.0
2007-12-20 13:04:17.0555,1.4,0.9
2007-12-20 13:04:17.0561,1.1,0.8
2007-12-20 13:04:17.0567,1.0,0.8
2007-12-20 13:04:17.0573,0.8,0.7
2007-12-20 13:04:17.0578,0.7,0.7
2007-12-20 13:04:17.0584,0.6,0.5
2007-12-20 13:04:17.0590,0.4,0.4
2007-12-20 13:04:17.0596,0.1,0.3
2007-12-20 13:04:17.0602,0.0,0.2
2007-12-20 13:04:17.0608,0.0,0.3
2007-12-20 13:04:17.0614,0.0,0.4
2007-12-20 13:04:17.0620,0.0,0.5
2007-12-20 13:04:17.0626,0.1,0.7
2007-12-20 13:04:17.0632,0.2,0.9
2007-12-20 13:04:17.0637,0.5,1.2
2007-12-20 13:04:17.0643,0.9,1.5
2007-12-20 13:04:17.0649,1.1,1.5
2007-12-20 13:04:17.0655,1.4,1.6
2007-12-20 13:04:17.0661,1.6,1.7
2007-12-20 13:04:17.0667,1.7,1.7
2007-12-20 13:04:17.0673,1.8,1.6
2007-12-20 13:04:17.0679,1.9,1.5
2007-12-20 13:04:17.0685,1.9,1.5
2007-12-20 13:04:17.0691,1.9,1.7
2007-12-20 13:04:17.0697,1.8,1.8
2007-12-20 13:04:17.0702,1.8,1.8
2007-12-20 13:04:17.0708,1.7,1.9
2007-12-20 13:04:17.0714,1.5,1.9
2007-12-20 13:04:17.0720,1.3,1.8
2007-12-20 13:04:17.0726,1.1,1.8
2007-12-20 13:04:17.0732,0.9,1.5
2007-12-20 13:04:17.0738,0.7,1.3
2007-12-20 13:04:17.0744,0.5,1.2
2007-12-20 13:04:17.0750,0.2,0.8
2007-12-20 13:04:17.0756,0.0,0.4
2007-12-20 13:04:17.0761,-0.3,0.2
2007-12-20 13:04:17.0767,-0.5,0.0
2007-12-20 13:04:17.0773,-0.6,-0.3
2007-12-20 13:04:17.0779,-0.7,-0.2
2007-12-20 13:04:17.0785,-0.8,-0.2
2007-12-20 13:04:17.0791,-1.0,-0.3
2007-12-20 13:04:17.0797,-1.1,-0.3
2007-12-20 13:04:17.0803,-1.3,-0.3
2007-12-20 13:04:17.0809,-1.4,-0.3
2007-12-20 13:04:17.0815,-1.4,-0.2
2007-12-20 13:04:17.0820,-1.4,-0.2
2007-12-20 13:04:17.0826,-1.4,-0.3
2007-12-20 13:04:17.0832,-1.4,-0.3
2007-12-20 13:04:17.0838,-1.5,-0.6
2007-12-20 13:04:17.0844,-1.4,-0.5
2007-12-20 13:04:17.0850,-1.3,-0.5
2007-12-20 13:04:17.0856,-1.2,-0.3
2007-12-20 13:04:17.0862,-1.1,-0.1
2007-12-20 13:04:17.0868,-0.9,0.0
2007-12-20 13:04:17.0874,-0.7,0.1
2007-12-20 13:04:17.0880,-0.5,0.2
2007-12-20 13:04:17.0885,-0.4,0.5
2007-12-20 13:04:17.0891,-0.2,0.5
2007-12-20 13:04:17.0897,-0.1,0.3
2007-12-20 13:04:17.0903,-0.1,0.2
2007-12-20 13:04:17.0909,-0.2,0.0
2007-12-20 13:04:17.0915,-0.4,0.0
2007-12-20 13:04:17.0921,-0.5,-0.2
2007-12-20 13:04:17.0927,-0.6,-0.3
2007-12-20 13:04:17.0933,-0.8,-0.4
2007-12-20 13:04:17.0939,-1.0,-0.5
2007-12-20 13:04:17.0944,-1.2,-0.5
2007-12-20 13:04:17.0950,-1.5,-0.6
2007-12-20 13:04:17.0956,-1.9,-0.7
2007-12-20 13:04:17.0962,-2.1,-0.9
2007-12-20 13:04:17.0968,-2.4,-0.9
2007-12-20 13:04:17.0974,-2.5,-1.0
2007-12-20 13:04:17.0980,-2.7,-1.2
2007-12-20 13:04:17.0986,-2.7,-1.2
2007-12-20 13:04:17.0992,-2.8,-1.3
2007-12-20 13:04:17.0998,-2.8,-1.4
2007-12-20 13:04:17.1003,-2.8,-1.6
2007-12-20 13:04:17.1009,-2.7,-1.8
2007-12-20 13:04:17.1015,-2.6,-2.0
2007-12-20 13:04:17.1021,-2.5,-2.0
2007-12-20 13:04:17.1027,-2.4,-2.1
2007-12-20 13:04:17.1033,-2.4,-2.1
2007-12-20 13:04:17.1039,-2.5,-2.1
2007-12-20 13:04:17.1045,-2.3,-1.9
2007-12-20 13:04:17.1051,-2.2,-1.8
2007-12-20 13:04:17.1057,-2.1,-1.7
2007-12-20 13:04:17.1062,-2.1,-1.6
2007-12-20 13:04:17.1068,-2.0,-1.5
2007-12-20 13:04:17.1074,-1.9,-1.5
2007-12-20 13:04:17.1080,-1.8,-1.5
2007-12-20 13:04:17.1086,-1.6,-1.7
2007-12-20 13:04:17.1092,-1.4,-1.8
2007-12-20 13:04:17.1098,-1.4,-1.8
2007-12-20 13:04:17.1104,-1.4,-1.7
2007-12-20 13:04:17.1110,-1.5,-1.7
2007-12-20 13:04:17.1116,-1.5,-1.6
2007-12-20 13:04:17.1122,-1.5,-1.7
2007-12-20 13:04:17.1127,-1.5,-1.6
2007-12-20 13:04:17.1133,-1.5,-1.6
2007-12-20 13:04:17.1139,-1.6,-1.6
2007-12-20 13:04:17.1145,-1.7,-1.6
2007-12-20 13:04:17.1151,-1.9,-1.6
2007-12-20 13:04:17.1157,-2.1,-1.8
2007-12-20 13:04:17.1163,-2.4,-1.9
2007-12-20 13:04:17.1169,-2.6,-2.1
2007-12-20 13:04:17.1175,-2.9,-2.3
2007-12-20 13:04:17.1181,-3.2,-2.6
2007-12-20 13:04:17.1186,-3.3,-2.7
2007-12-20 13:04:17.1192,-3.5,-2.8
2007-12-20 13:04:17.1198,-3.7,-3.0
2007-12-20 13:04:17.1204,-3.9,-3.0
2007-12-20 13:04:17.1210,-4.0,-2.9
2007-12-20 13:04:17.1216,-4.0,-2.9
2007-12-20 13:04:17.1222,-3.9,-2.8
2007-12-20 13:04:17.1228,-3.9,-2.6
2007-12-20 13:04:17.1234,-3.7,-2.3
2007-12-20 13:04:17.1240,-3.6,-2.1
2007-12-20 13:04:17.1245,-3.4,-2.0
2007-12-20 13:04:17.1251,-3.2,-1.8
