TIME,RE,LE
2016-04-01 11:44:27.0000,0.0,0.0
2016-04-01 11:44:27.0006,0.1,-0.5
2016-04-01 11:44:27.0012,0.2,-0.4
2016-04-01 11:44:27.0018,0.3,-0.3
2016-04-01 11:44:27.0024,0.5,-0.2
2016-04-01 11:44:27.0030,0.8,-0.2
2016-04-01 11:44:27.0035,1.0,-0.3
2016-04-01 11:44:27.0041,1.3,-0.5
2016-04-01 11:44:27.0047,1.6,-0.6
2016-04-01 11:44:27.0053,1.8,-0.7
2016-04-01 11:44:27.0059,1.9,-0.8
2016-04-01 11:44:27.0065,1.9,-0.8
2016-04-01 11:44:27.0071,1.8,-0.9
2016-04-01 11:44:27.0077,1.4,-0.9
2016-04-01 11:44:27.0083,1.1,-0.8
2016-04-01 11:44:27.0089,0.8,-0.8
2016-04-01 11:44:27.0094,0.6,-0.9
2016-04-01 11:44:27.0100,0.3,-0.9
2016-04-01 11:44:27.0106,0.1,-0.9
2016-04-01 11:44:27.0112,0.0,-1.0
2016-04-01 11:44:27.0118,-0.1,-1.0
2016-04-01 11:44:27.0124,-0.2,-1.1
2016-04-01 11:44:27.0130,-0.1,-1.2
2016-04-01 11:44:27.0136,0.0,-1.2
2016-04-01 11:44:27.0142,0.0,-1.2
2016-04-01 11:44:27.0148,0.1,-1.3
2016-04-01 11:44:27.0153,0.1,-1.4
2016-04-01 11:44:27.0159,0.1,-1.5
2016-04-01 11:44:27.0165,0.1,-1.7
2016-04-01 11:44:27.0171,0.2,-1.8
2016-04-01 11:44:27.0177,0.3,-1.9
2016-04-01 11:44:27.0183,0.2,-2.1
2016-04-01 11:44:27.0189,0.2,-2.1
2016-04-01 11:44:27.0195,0.1,-2.3
2016-04-01 11:44:27.0201,0.1,-2.4
2016-04-01 11:44:27.0207,0.3,-2.4
2016-04-01 11:44:27.0212,0.5,-2.5
2016-04-01 11:44:27.0218,0.6,-2.5
2016-04-01 11:44:27.0224,0.7,-2.5
2016-04-01 11:44:27.0230,0.6,-2.5
2016-04-01 11:44:27.0236,0.5,-2.5
2016-04-01 11:44:27.0242,0.4,-2.5
2016-04-01 11:44:27.0248,0.2,-2.5
2016-04-01 11:44:27.0254,0.0,-2.6
2016-04-01 11:44:27.0260,-0.1,-2.8
2016-04-01 11:44:27.0266,-0.2,-2.9
2016-04-01 11:44:27.0272,-0.4,-2.9
2016-04-01 11:44:27.0277,-0.5,-2.9
2016-04-01 11:44:27.0283,-0.6,-2.8
2016-04-01 11:44:27.0289,-0.5,-2.8
2016-04-01 11:44:27.0295,-0.4,-2.6
2016-04-01 11:44:27.0301,-0.3,-2.7
2016-04-01 11:44:27.0307,-0.2,-2.7
2016-04-01 11:44:27.0313,-0.2,-2.6
2016-04-01 11:44:27.0319,-0.3,-2.5
2016-04-01 11:44:27.0325,-0.3,-2.4
2016-04-01 11:44:27.0331,-0.5,-2.3
2016-04-01 11:44:27.0336,-0.5,-2.3
