TIME,RE,LE
2005-10-13 11:12:01.0000,0.0,0.0
2005-10-13 11:12:01.0006,-0.1,0.0
2005-10-13 11:12:01.0012,-0.2,0.0
2005-10-13 11:12:01.0018,-0.3,0.1
2005-10-13 11:12:01.0024,-0.4,0.1
2005-10-13 11:12:01.0030,-0.3,0.2
2005-10-13 11:12:01.0035,-0.3,0.3
2005-10-13 11:12:01.0041,-0.2,0.4
2005-10-13 11:12:01.0047,-0.2,0.4
2005-10-13 11:12:01.0053,0.0,0.4
2005-10-13 11:12:01.0059,0.0,0.5
2005-10-13 11:12:01.0065,0.0,0.4
2005-10-13 11:12:01.0071,0.0,0.3
2005-10-13 11:12:01.0077,-0.1,0.2
2005-10-13 11:12:01.0083,-0.2,0.2
2005-10-13 11:12:01.0089,-0.2,0.1
2005-10-13 11:12:01.0094,-0.2,0.0
2005-10-13 11:12:01.0100,-0.2,0.0
2005-10-13 11:12:01.0106,-0.2,0.0
2005-10-13 11:12:01.0112,-0.1,0.0
2005-10-13 11:12:01.0118,-0.1,-0.1
2005-10-13 11:12:01.0124,-0.1,-0.1
2005-10-13 11:12:01.0130,0.0,-0.2
2005-10-13 11:12:01.0136,0.0,-0.2
2005-10-13 11:12:01.0142,0.0,-0.2
2005-10-13 11:12:01.0148,0.0,-0.2
2005-10-13 11:12:01.0153,0.0,-0.2
2005-10-13 11:12:01.0159,0.0,-0.2
2005-10-13 11:12:01.0165,-0.1,-0.2
2005-10-13 11:12:01.0171,0.0,-0.2
2005-10-13 11:12:01.0177,0.0,-0.3
2005-10-13 11:12:01.0183,-0.1,-0.2
2005-10-13 11:12:01.0189,-0.2,-0.3
2005-10-13 11:12:01.0195,-0.3,-0.3
2005-10-13 11:12:01.0201,-0.3,-0.4
2005-10-13 11:12:01.0207,-0.2,-0.4
2005-10-13 11:12:01.0212,-0.1,-0.6
2005-10-13 11:12:01.0218,-0.1,-0.7
2005-10-13 11:12:01.0224,-0.1,-0.8
2005-10-13 11:12:01.0230,-0.2,-0.9
2005-10-13 11:12:01.0236,-0.3,-0.9
2005-10-13 11:12:01.0242,-0.3,-1.0
2005-10-13 11:12:01.0248,-0.4,-1.1
2005-10-13 11:12:01.0254,-0.2,-1.2
2005-10-13 11:12:01.0260,-0.3,-1.1
