TIME,RE,LE
2008-04-10 11:20:40.0000,0.0,0.0
2008-04-10 11:20:40.0006,-0.1,0.4
2008-04-10 11:20:40.0012,-0.5,0.4
2008-04-10 11:20:40.0018,-0.6,0.5
2008-04-10 11:20:40.0024,-0.6,0.5
2008-04-10 11:20:40.0030,-0.4,0.5
2008-04-10 11:20:40.0035,0.0,0.5
2008-04-10 11:20:40.0041,0.3,0.5
2008-04-10 11:20:40.0047,0.9,0.5
2008-04-10 11:20:40.0053,1.4,0.4
2008-04-10 11:20:40.0059,1.9,0.4
2008-04-10 11:20:40.0065,2.2,0.2
2008-04-10 11:20:40.0071,2.4,0.0
2008-04-10 11:20:40.0077,2.4,-0.2
2008-04-10 11:20:40.0083,2.2,-0.4
2008-04-10 11:20:40.0089,1.9,-0.8
2008-04-10 11:20:40.0094,1.2,-1.0
2008-04-10 11:20:40.0100,0.8,-1.1
2008-04-10 11:20:40.0106,0.3,-1.0
2008-04-10 11:20:40.0112,0.0,-0.9
2008-04-10 11:20:40.0118,-0.2,-0.8
2008-04-10 11:20:40.0124,-0.4,-0.7
2008-04-10 11:20:40.0130,-0.7,-0.7
2008-04-10 11:20:40.0136,-0.9,-0.7
2008-04-10 11:20:40.0142,-1.0,-0.8
2008-04-10 11:20:40.0148,-1.3,-0.9
2008-04-10 11:20:40.0153,-1.5,-0.9
2008-04-10 11:20:40.0159,-1.7,-0.9
2008-04-10 11:20:40.0165,-1.8,-0.9
2008-04-10 11:20:40.0171,-2.0,-1.0
2008-04-10 11:20:40.0177,-2.3,-1.1
2008-04-10 11:20:40.0183,-2.4,-1.1
2008-04-10 11:20:40.0189,-2.3,-1.0
2008-04-10 11:20:40.0195,-2.2,-0.8
2008-04-10 11:20:40.0201,-2.0,-0.6
2008-04-10 11:20:40.0207,-1.6,-0.5
2008-04-10 11:20:40.0212,-1.5,-0.4
2008-04-10 11:20:40.0218,-1.2,-0.3
2008-04-10 11:20:40.0224,-1.0,-0.3
2008-04-10 11:20:40.0230,-0.8,-0.3
2008-04-10 11:20:40.0236,-0.5,-0.4
2008-04-10 11:20:40.0242,-0.3,-0.5
2008-04-10 11:20:40.0248,-0.2,-0.6
2008-04-10 11:20:40.0254,-0.2,-0.8
2008-04-10 11:20:40.0260,-0.4,-1.0
2008-04-10 11:20:40.0266,-0.7,-1.1
2008-04-10 11:20:40.0272,-0.9,-1.1
2008-04-10 11:20:40.0277,-1.1,-1.2
2008-04-10 11:20:40.0283,-1.2,-1.3
2008-04-10 11:20:40.0289,-1.3,-1.5
2008-04-10 11:20:40.0295,-1.3,-1.8
2008-04-10 11:20:40.0301,-1.4,-1.9
2008-04-10 11:20:40.0307,-1.6,-1.9
2008-04-10 11:20:40.0313,-1.8,-2.0
2008-04-10 11:20:40.0319,-2.0,-1.9
2008-04-10 11:20:40.0325,-2.1,-1.8
2008-04-10 11:20:40.0331,-2.1,-1.7
2008-04-10 11:20:40.0336,-2.2,-1.6
2008-04-10 11:20:40.0342,-2.6,-1.5
2008-04-10 11:20:40.0348,-2.9,-1.5
2008-04-10 11:20:40.0354,-3.1,-1.2
2008-04-10 11:20:40.0360,-3.1,-1.0
2008-04-10 11:20:40.0366,-3.2,-0.6
2008-04-10 11:20:40.0372,-3.1,-0.3
2008-04-10 11:20:40.0378,-3.1,-0.1
2008-04-10 11:20:40.0384,-3.0,0.1
2008-04-10 11:20:40.0390,-2.7,0.4
2008-04-10 11:20:40.0395,-2.7,0.7
2008-04-10 11:20:40.0401,-2.7,1.0
2008-04-10 11:20:40.0407,-2.5,1.2
2008-04-10 11:20:40.0413,-2.4,1.4
2008-04-10 11:20:40.0419,-2.2,1.6
2008-04-10 11:20:40.0425,-2.5,1.5
2008-04-10 11:20:40.0431,-2.5,1.6
2008-04-10 11:20:40.0437,-2.4,1.8
2008-04-10 11:20:40.0443,-2.3,1.9
2008-04-10 11:20:40.0449,-2.1,2.1
2008-04-10 11:20:40.0455,-1.8,2.1
2008-04-10 11:20:40.0460,-1.4,2.1
2008-04-10 11:20:40.0466,-1.1,2.2
2008-04-10 11:20:40.0472,-0.9,2.2
2008-04-10 11:20:40.0478,-0.9,2.2
2008-04-10 11:20:40.0484,-1.0,2.1
2008-04-10 11:20:40.0490,-1.2,2.1
2008-04-10 11:20:40.0496,-1.4,2.1
2008-04-10 11:20:40.0502,-1.7,1.9
2008-04-10 11:20:40.0508,-2.1,1.6
2008-04-10 11:20:40.0514,-2.6,1.4
2008-04-10 11:20:40.0519,-2.9,1.3
2008-04-10 11:20:40.0525,-3.2,1.2
2008-04-10 11:20:40.0531,-3.3,1.2
2008-04-10 11:20:40.0537,-3.5,1.2
2008-04-10 11:20:40.0543,-3.6,1.2
2008-04-10 11:20:40.0549,-3.7,1.2
2008-04-10 11:20:40.0555,-3.8,1.1
2008-04-10 11:20:40.0561,-3.9,1.0
2008-04-10 11:20:40.0567,-4.0,0.9
2008-04-10 11:20:40.0573,-4.0,0.8
2008-04-10 11:20:40.0578,-4.0,0.6
2008-04-10 11:20:40.0584,-3.9,0.5
2008-04-10 11:20:40.0590,-4.0,0.4
2008-04-10 11:20:40.0596,-4.1,0.4
2008-04-10 11:20:40.0602,-4.0,0.4
2008-04-10 11:20:40.0608,-3.9,0.3
2008-04-10 11:20:40.0614,-3.9,0.2
2008-04-10 11:20:40.0620,-3.7,0.1
2008-04-10 11:20:40.0626,-3.5,-0.1
2008-04-10 11:20:40.0632,-3.3,-0.4
2008-04-10 11:20:40.0637,-3.0,-0.6
2008-04-10 11:20:40.0643,-2.8,-0.8
2008-04-10 11:20:40.0649,-2.8,-0.9
2008-04-10 11:20:40.0655,-2.7,-1.0
2008-04-10 11:20:40.0661,-2.6,-1.1
2008-04-10 11:20:40.0667,-2.5,-1.0
2008-04-10 11:20:40.0673,-2.7,-1.3
2008-04-10 11:20:40.0679,-3.1,-1.5
2008-04-10 11:20:40.0685,-3.3,-1.7
2008-04-10 11:20:40.0691,-3.3,-1.8
2008-04-10 11:20:40.0697,-3.4,-2.0
2008-04-10 11:20:40.0702,-3.3,-2.0
2008-04-10 11:20:40.0708,-3.3,-2.1
2008-04-10 11:20:40.0714,-3.3,-2.1
2008-04-10 11:20:40.0720,-3.3,-2.0
2008-04-10 11:20:40.0726,-3.5,-2.0
2008-04-10 11:20:40.0732,-3.7,-2.0
2008-04-10 11:20:40.0738,-3.9,-2.0
2008-04-10 11:20:40.0744,-4.0,-2.1
2008-04-10 11:20:40.0750,-4.2,-2.1
2008-04-10 11:20:40.0756,-4.4,-2.1
2008-04-10 11:20:40.0761,-4.7,-2.2
2008-04-10 11:20:40.0767,-4.7,-2.3
2008-04-10 11:20:40.0773,-4.7,-2.1
2008-04-10 11:20:40.0779,-4.5,-2.0
2008-04-10 11:20:40.0785,-4.3,-1.8
2008-04-10 11:20:40.0791,-4.1,-1.6
2008-04-10 11:20:40.0797,-3.8,-1.6
2008-04-10 11:20:40.0803,-3.6,-1.6
2008-04-10 11:20:40.0809,-3.5,-1.7
2008-04-10 11:20:40.0815,-3.4,-1.9
2008-04-10 11:20:40.0820,-3.5,-2.0
2008-04-10 11:20:40.0826,-3.4,-2.1
2008-04-10 11:20:40.0832,-3.4,-2.1
2008-04-10 11:20:40.0838,-3.6,-2.2
2008-04-10 11:20:40.0844,-4.0,-2.2
2008-04-10 11:20:40.0850,-4.2,-2.2
2008-04-10 11:20:40.0856,-4.2,-2.1
2008-04-10 11:20:40.0862,-4.1,-2.2
2008-04-10 11:20:40.0868,-4.2,-2.1
2008-04-10 11:20:40.0874,-4.0,-2.3
2008-04-10 11:20:40.0880,-4.0,-2.4
2008-04-10 11:20:40.0885,-4.0,-2.8
2008-04-10 11:20:40.0891,-4.1,-3.2
2008-04-10 11:20:40.0897,-3.9,-3.5
2008-04-10 11:20:40.0903,-4.0,-3.5
2008-04-10 11:20:40.0909,-4.1,-3.6
2008-04-10 11:20:40.0915,-4.3,-3.6
2008-04-10 11:20:40.0921,-4.8,-3.6
2008-04-10 11:20:40.0927,-5.3,-3.5
2008-04-10 11:20:40.0933,-5.7,-3.4
2008-04-10 11:20:40.0939,-6.0,-3.3
2008-04-10 11:20:40.0944,-6.2,-3.3
2008-04-10 11:20:40.0950,-6.3,-3.4
2008-04-10 11:20:40.0956,-6.3,-3.4
2008-04-10 11:20:40.0962,-6.3,-3.4
2008-04-10 11:20:40.0968,-6.2,-3.3
2008-04-10 11:20:40.0974,-6.2,-3.3
2008-04-10 11:20:40.0980,-6.1,-3.2
2008-04-10 11:20:40.0986,-6.0,-3.0
2008-04-10 11:20:40.0992,-5.9,-3.0
2008-04-10 11:20:40.0998,-5.8,-2.9
2008-04-10 11:20:40.1003,-5.8,-3.0
2008-04-10 11:20:40.1009,-6.1,-3.2
2008-04-10 11:20:40.1015,-6.3,-3.1
2008-04-10 11:20:40.1021,-6.3,-3.0
2008-04-10 11:20:40.1027,-6.2,-2.9
2008-04-10 11:20:40.1033,-6.0,-2.6
2008-04-10 11:20:40.1039,-5.7,-2.4
2008-04-10 11:20:40.1045,-5.4,-2.5
2008-04-10 11:20:40.1051,-5.2,-2.5
2008-04-10 11:20:40.1057,-5.0,-2.5
2008-04-10 11:20:40.1062,-4.7,-2.7
2008-04-10 11:20:40.1068,-4.6,-2.9
2008-04-10 11:20:40.1074,-4.6,-3.2
2008-04-10 11:20:40.1080,-4.6,-3.3
2008-04-10 11:20:40.1086,-4.6,-3.5
2008-04-10 11:20:40.1092,-5.0,-3.6
2008-04-10 11:20:40.1098,-5.2,-3.4
2008-04-10 11:20:40.1104,-5.2,-3.2
2008-04-10 11:20:40.1110,-5.3,-2.9
2008-04-10 11:20:40.1116,-5.3,-2.7
2008-04-10 11:20:40.1122,-5.4,-2.5
2008-04-10 11:20:40.1127,-5.4,-2.2
2008-04-10 11:20:40.1133,-5.6,-2.2
2008-04-10 11:20:40.1139,-5.7,-2.2
2008-04-10 11:20:40.1145,-5.7,-2.3
2008-04-10 11:20:40.1151,-5.8,-2.3
2008-04-10 11:20:40.1157,-6.0,-2.3
2008-04-10 11:20:40.1163,-6.2,-2.4
2008-04-10 11:20:40.1169,-6.2,-2.5
2008-04-10 11:20:40.1175,-6.5,-2.6
2008-04-10 11:20:40.1181,-6.7,-2.7
2008-04-10 11:20:40.1186,-6.6,-2.5
2008-04-10 11:20:40.1192,-6.3,-2.3
2008-04-10 11:20:40.1198,-6.0,-2.1
2008-04-10 11:20:40.1204,-5.8,-2.0
2008-04-10 11:20:40.1210,-5.7,-1.8
2008-04-10 11:20:40.1216,-5.5,-1.6
2008-04-10 11:20:40.1222,-5.4,-1.5
2008-04-10 11:20:40.1228,-5.4,-1.3
2008-04-10 11:20:40.1234,-5.1,-1.1
2008-04-10 11:20:40.1240,-5.0,-1.0
2008-04-10 11:20:40.1245,-4.6,-1.0
2008-04-10 11:20:40.1251,-4.4,-1.0
2008-04-10 11:20:40.1257,-4.4,-1.2
2008-04-10 11:20:40.1263,-4.5,-1.3
2008-04-10 11:20:40.1269,-4.4,-1.5
2008-04-10 11:20:40.1275,-4.3,-1.6
2008-04-10 11:20:40.1281,-4.3,-1.8
2008-04-10 11:20:40.1287,-4.4,-2.0
2008-04-10 11:20:40.1293,-4.5,-2.1
2008-04-10 11:20:40.1299,-4.6,-2.1
2008-04-10 11:20:40.1305,-4.8,-2.1
2008-04-10 11:20:40.1310,-4.9,-2.1
2008-04-10 11:20:40.1316,-5.2,-2.1
2008-04-10 11:20:40.1322,-5.5,-2.1
2008-04-10 11:20:40.1328,-5.7,-2.1
2008-04-10 11:20:40.1334,-5.9,-2.1
2008-04-10 11:20:40.1340,-6.3,-2.2
2008-04-10 11:20:40.1346,-6.5,-2.3
2008-04-10 11:20:40.1352,-6.8,-2.5
2008-04-10 11:20:40.1358,-7.0,-2.5
2008-04-10 11:20:40.1364,-7.0,-2.5
2008-04-10 11:20:40.1369,-7.1,-2.4
2008-04-10 11:20:40.1375,-7.1,-2.3
2008-04-10 11:20:40.1381,-7.0,-2.1
2008-04-10 11:20:40.1387,-6.8,-2.0
2008-04-10 11:20:40.1393,-6.7,-1.9
2008-04-10 11:20:40.1399,-6.5,-1.5
2008-04-10 11:20:40.1405,-6.3,-1.3
2008-04-10 11:20:40.1411,-6.3,-1.2
2008-04-10 11:20:40.1417,-6.1,-1.3
2008-04-10 11:20:40.1423,-6.3,-1.4
2008-04-10 11:20:40.1428,-6.3,-1.6
2008-04-10 11:20:40.1434,-6.3,-1.4
2008-04-10 11:20:40.1440,-6.1,-1.3
2008-04-10 11:20:40.1446,-5.9,-1.0
2008-04-10 11:20:40.1452,-5.8,-0.9
2008-04-10 11:20:40.1458,-5.7,-0.8
2008-04-10 11:20:40.1464,-5.8,-0.7
2008-04-10 11:20:40.1470,-5.8,-0.7
2008-04-10 11:20:40.1476,-5.7,-0.8
2008-04-10 11:20:40.1482,-5.7,-1.0
2008-04-10 11:20:40.1487,-5.8,-1.1
2008-04-10 11:20:40.1493,-6.0,-1.4
2008-04-10 11:20:40.1499,-6.2,-1.7
