TIME,RE,LE
2006-10-26 12:54:02.0000,0.0,0.0
2006-10-26 12:54:02.0006,-0.1,-0.4
2006-10-26 12:54:02.0012,-0.5,-0.5
2006-10-26 12:54:02.0018,-0.8,-0.4
2006-10-26 12:54:02.0024,-0.9,-0.4
2006-10-26 12:54:02.0030,-0.9,-0.3
2006-10-26 12:54:02.0035,-0.9,-0.2
2006-10-26 12:54:02.0041,-0.8,-0.1
2006-10-26 12:54:02.0047,-0.6,0.0
2006-10-26 12:54:02.0053,-0.5,0.3
2006-10-26 12:54:02.0059,-0.4,0.5
2006-10-26 12:54:02.0065,-0.4,0.7
2006-10-26 12:54:02.0071,-0.3,0.8
2006-10-26 12:54:02.0077,-0.3,1.0
2006-10-26 12:54:02.0083,-0.3,1.1
2006-10-26 12:54:02.0089,-0.2,0.9
2006-10-26 12:54:02.0094,-0.7,0.9
2006-10-26 12:54:02.0100,-0.7,0.7
2006-10-26 12:54:02.0106,-0.8,0.6
2006-10-26 12:54:02.0112,-0.6,0.6
2006-10-26 12:54:02.0118,-0.6,0.6
2006-10-26 12:54:02.0124,-0.4,0.5
2006-10-26 12:54:02.0130,-0.4,0.4
2006-10-26 12:54:02.0136,-0.4,0.5
2006-10-26 12:54:02.0142,-0.3,0.4
2006-10-26 12:54:02.0148,-0.4,0.3
2006-10-26 12:54:02.0153,-0.4,0.2
2006-10-26 12:54:02.0159,-0.6,0.0
2006-10-26 12:54:02.0165,-0.8,0.0
2006-10-26 12:54:02.0171,-1.0,-0.4
2006-10-26 12:54:02.0177,-1.5,-0.7
2006-10-26 12:54:02.0183,-1.8,-1.0
2006-10-26 12:54:02.0189,-1.9,-1.2
2006-10-26 12:54:02.0195,-1.9,-1.3
2006-10-26 12:54:02.0201,-1.6,-1.3
2006-10-26 12:54:02.0207,-1.5,-1.2
2006-10-26 12:54:02.0212,-1.4,-1.0
2006-10-26 12:54:02.0218,-1.3,-0.8
2006-10-26 12:54:02.0224,-1.3,-0.8
2006-10-26 12:54:02.0230,-1.4,-0.6
2006-10-26 12:54:02.0236,-1.4,-0.6
2006-10-26 12:54:02.0242,-1.5,-0.6
2006-10-26 12:54:02.0248,-1.6,-0.7
2006-10-26 12:54:02.0254,-1.5,-0.8
2006-10-26 12:54:02.0260,-1.9,-0.9
2006-10-26 12:54:02.0266,-1.9,-0.9
2006-10-26 12:54:02.0272,-1.8,-0.9
2006-10-26 12:54:02.0277,-1.7,-0.8
2006-10-26 12:54:02.0283,-1.5,-0.7
2006-10-26 12:54:02.0289,-1.2,-0.5
2006-10-26 12:54:02.0295,-1.1,-0.5
2006-10-26 12:54:02.0301,-1.0,-0.5
2006-10-26 12:54:02.0307,-0.9,-0.6
2006-10-26 12:54:02.0313,-0.9,-0.8
2006-10-26 12:54:02.0319,-0.8,-1.0
2006-10-26 12:54:02.0325,-0.7,-1.1
2006-10-26 12:54:02.0331,-0.7,-1.2
2006-10-26 12:54:02.0336,-0.6,-1.5
2006-10-26 12:54:02.0342,-1.0,-1.6
2006-10-26 12:54:02.0348,-1.2,-1.9
2006-10-26 12:54:02.0354,-1.3,-2.1
2006-10-26 12:54:02.0360,-1.4,-2.1
2006-10-26 12:54:02.0366,-1.3,-2.4
2006-10-26 12:54:02.0372,-1.3,-2.5
2006-10-26 12:54:02.0378,-1.2,-2.7
2006-10-26 12:54:02.0384,-1.1,-2.9
2006-10-26 12:54:02.0390,-1.1,-3.0
2006-10-26 12:54:02.0395,-1.1,-3.2
2006-10-26 12:54:02.0401,-1.1,-3.3
2006-10-26 12:54:02.0407,-1.2,-3.3
2006-10-26 12:54:02.0413,-1.3,-3.1
2006-10-26 12:54:02.0419,-1.4,-3.1
2006-10-26 12:54:02.0425,-1.8,-3.1
2006-10-26 12:54:02.0431,-2.1,-3.1
2006-10-26 12:54:02.0437,-2.1,-2.9
2006-10-26 12:54:02.0443,-2.1,-2.8
2006-10-26 12:54:02.0449,-2.0,-2.7
2006-10-26 12:54:02.0455,-1.8,-2.6
2006-10-26 12:54:02.0460,-1.4,-2.4
2006-10-26 12:54:02.0466,-1.2,-2.3
2006-10-26 12:54:02.0472,-1.0,-2.1
2006-10-26 12:54:02.0478,-0.8,-2.0
2006-10-26 12:54:02.0484,-0.6,-1.8
2006-10-26 12:54:02.0490,-0.5,-1.9
2006-10-26 12:54:02.0496,-0.5,-2.0
2006-10-26 12:54:02.0502,-0.4,-2.1
2006-10-26 12:54:02.0508,-0.7,-2.4
2006-10-26 12:54:02.0514,-0.9,-2.6
2006-10-26 12:54:02.0519,-1.0,-2.6
2006-10-26 12:54:02.0525,-0.9,-2.7
2006-10-26 12:54:02.0531,-0.8,-2.8
2006-10-26 12:54:02.0537,-0.5,-2.8
2006-10-26 12:54:02.0543,-0.4,-2.9
2006-10-26 12:54:02.0549,-0.2,-2.9
2006-10-26 12:54:02.0555,-0.2,-3.1
2006-10-26 12:54:02.0561,-0.3,-3.1
2006-10-26 12:54:02.0567,-0.3,-3.2
2006-10-26 12:54:02.0573,-0.4,-3.3
2006-10-26 12:54:02.0578,-0.4,-3.4
2006-10-26 12:54:02.0584,-0.5,-3.7
2006-10-26 12:54:02.0590,-0.8,-3.9
2006-10-26 12:54:02.0596,-1.1,-4.0
2006-10-26 12:54:02.0602,-1.3,-4.1
2006-10-26 12:54:02.0608,-1.5,-4.0
2006-10-26 12:54:02.0614,-1.5,-4.1
2006-10-26 12:54:02.0620,-1.6,-4.0
2006-10-26 12:54:02.0626,-1.6,-4.0
2006-10-26 12:54:02.0632,-1.6,-4.0
2006-10-26 12:54:02.0637,-1.6,-4.0
2006-10-26 12:54:02.0643,-1.5,-3.9
2006-10-26 12:54:02.0649,-1.5,-3.9
2006-10-26 12:54:02.0655,-1.4,-3.7
