TIME,RE,LE
2016-05-19 09:43:23.0000,0.0,0.0
2016-05-19 09:43:23.0006,-0.2,0.1
2016-05-19 09:43:23.0012,-0.6,0.3
2016-05-19 09:43:23.0018,-0.9,0.4
2016-05-19 09:43:23.0024,-1.2,0.7
2016-05-19 09:43:23.0030,-1.4,1.0
2016-05-19 09:43:23.0035,-1.5,0.9
2016-05-19 09:43:23.0041,-2.0,1.1
2016-05-19 09:43:23.0047,-2.1,1.2
2016-05-19 09:43:23.0053,-2.1,1.3
2016-05-19 09:43:23.0059,-2.1,1.2
2016-05-19 09:43:23.0065,-2.1,1.2
2016-05-19 09:43:23.0071,-2.2,1.1
2016-05-19 09:43:23.0077,-2.6,0.8
2016-05-19 09:43:23.0083,-2.7,0.7
2016-05-19 09:43:23.0089,-2.6,0.5
2016-05-19 09:43:23.0094,-2.6,0.3
2016-05-19 09:43:23.0100,-2.3,0.0
2016-05-19 09:43:23.0106,-1.8,-0.1
2016-05-19 09:43:23.0112,-1.3,-0.3
2016-05-19 09:43:23.0118,-0.9,-0.5
2016-05-19 09:43:23.0124,-0.3,-0.5
2016-05-19 09:43:23.0130,0.3,-0.6
2016-05-19 09:43:23.0136,0.7,-0.8
2016-05-19 09:43:23.0142,1.4,-0.9
2016-05-19 09:43:23.0148,1.8,-1.2
2016-05-19 09:43:23.0153,2.1,-1.5
2016-05-19 09:43:23.0159,2.2,-1.8
2016-05-19 09:43:23.0165,2.2,-1.9
2016-05-19 09:43:23.0171,2.5,-1.9
2016-05-19 09:43:23.0177,2.7,-1.8
2016-05-19 09:43:23.0183,2.8,-1.7
2016-05-19 09:43:23.0189,2.5,-1.7
2016-05-19 09:43:23.0195,2.2,-1.5
2016-05-19 09:43:23.0201,1.8,-1.3
2016-05-19 09:43:23.0207,1.4,-1.0
2016-05-19 09:43:23.0212,1.0,-0.7
2016-05-19 09:43:23.0218,0.7,-0.6
2016-05-19 09:43:23.0224,0.1,-0.4
2016-05-19 09:43:23.0230,-0.2,-0.2
2016-05-19 09:43:23.0236,-0.7,0.0
2016-05-19 09:43:23.0242,-1.0,0.1
2016-05-19 09:43:23.0248,-1.4,0.2
2016-05-19 09:43:23.0254,-1.6,0.4
2016-05-19 09:43:23.0260,-1.9,0.4
2016-05-19 09:43:23.0266,-2.0,0.4
2016-05-19 09:43:23.0272,-2.1,0.3
2016-05-19 09:43:23.0277,-2.4,0.2
2016-05-19 09:43:23.0283,-2.3,0.2
2016-05-19 09:43:23.0289,-2.1,0.1
2016-05-19 09:43:23.0295,-1.8,0.0
2016-05-19 09:43:23.0301,-1.4,-0.3
2016-05-19 09:43:23.0307,-1.1,-0.7
2016-05-19 09:43:23.0313,-0.9,-1.0
2016-05-19 09:43:23.0319,-0.6,-1.2
2016-05-19 09:43:23.0325,-0.4,-1.3
2016-05-19 09:43:23.0331,0.0,-1.4
2016-05-19 09:43:23.0336,0.6,-1.3
2016-05-19 09:43:23.0342,1.2,-1.3
2016-05-19 09:43:23.0348,1.6,-1.3
2016-05-19 09:43:23.0354,2.1,-1.2
2016-05-19 09:43:23.0360,2.3,-1.1
2016-05-19 09:43:23.0366,2.7,-0.8
2016-05-19 09:43:23.0372,3.1,-0.5
2016-05-19 09:43:23.0378,3.8,-0.2
2016-05-19 09:43:23.0384,4.1,0.0
2016-05-19 09:43:23.0390,4.4,0.0
2016-05-19 09:43:23.0395,4.4,0.2
2016-05-19 09:43:23.0401,4.2,0.4
2016-05-19 09:43:23.0407,4.0,0.7
2016-05-19 09:43:23.0413,3.8,1.0
2016-05-19 09:43:23.0419,3.6,1.3
2016-05-19 09:43:23.0425,3.1,1.6
2016-05-19 09:43:23.0431,2.8,1.8
2016-05-19 09:43:23.0437,2.3,2.1
2016-05-19 09:43:23.0443,2.0,2.2
2016-05-19 09:43:23.0449,1.5,2.5
2016-05-19 09:43:23.0455,1.2,2.9
2016-05-19 09:43:23.0460,1.0,3.0
2016-05-19 09:43:23.0466,1.0,3.1
2016-05-19 09:43:23.0472,0.8,3.0
2016-05-19 09:43:23.0478,0.6,2.8
2016-05-19 09:43:23.0484,0.7,2.7
2016-05-19 09:43:23.0490,0.9,2.5
2016-05-19 09:43:23.0496,1.2,2.3
2016-05-19 09:43:23.0502,1.6,2.1
2016-05-19 09:43:23.0508,2.1,1.7
2016-05-19 09:43:23.0514,2.2,1.5
2016-05-19 09:43:23.0519,2.7,1.3
2016-05-19 09:43:23.0525,2.9,1.2
2016-05-19 09:43:23.0531,3.4,1.2
2016-05-19 09:43:23.0537,3.8,1.1
2016-05-19 09:43:23.0543,4.1,0.9
2016-05-19 09:43:23.0549,4.3,0.7
2016-05-19 09:43:23.0555,4.4,0.5
2016-05-19 09:43:23.0561,4.3,0.4
2016-05-19 09:43:23.0567,4.5,0.4
2016-05-19 09:43:23.0573,4.5,0.3
2016-05-19 09:43:23.0578,4.6,0.3
2016-05-19 09:43:23.0584,4.5,0.3
2016-05-19 09:43:23.0590,4.2,0.2
2016-05-19 09:43:23.0596,3.6,0.2
2016-05-19 09:43:23.0602,3.1,0.4
2016-05-19 09:43:23.0608,2.6,0.5
2016-05-19 09:43:23.0614,2.1,0.8
2016-05-19 09:43:23.0620,1.8,1.0
2016-05-19 09:43:23.0626,1.3,1.1
2016-05-19 09:43:23.0632,0.7,1.0
2016-05-19 09:43:23.0637,0.2,1.0
2016-05-19 09:43:23.0643,-0.4,0.9
2016-05-19 09:43:23.0649,-0.9,0.9
2016-05-19 09:43:23.0655,-1.2,0.7
2016-05-19 09:43:23.0661,-1.3,0.5
2016-05-19 09:43:23.0667,-1.5,0.3
2016-05-19 09:43:23.0673,-2.0,0.0
2016-05-19 09:43:23.0679,-2.1,-0.3
2016-05-19 09:43:23.0685,-2.2,-0.4
2016-05-19 09:43:23.0691,-2.1,-0.6
2016-05-19 09:43:23.0697,-1.8,-0.7
2016-05-19 09:43:23.0702,-1.5,-1.1
2016-05-19 09:43:23.0708,-1.2,-1.3
2016-05-19 09:43:23.0714,-0.9,-1.6
2016-05-19 09:43:23.0720,-0.5,-1.8
2016-05-19 09:43:23.0726,0.0,-2.0
2016-05-19 09:43:23.0732,0.4,-2.0
2016-05-19 09:43:23.0738,0.9,-2.1
2016-05-19 09:43:23.0744,1.4,-2.3
2016-05-19 09:43:23.0750,1.7,-2.5
2016-05-19 09:43:23.0756,1.7,-2.6
2016-05-19 09:43:23.0761,1.6,-2.8
2016-05-19 09:43:23.0767,1.5,-2.8
2016-05-19 09:43:23.0773,1.7,-2.8
2016-05-19 09:43:23.0779,1.8,-2.6
2016-05-19 09:43:23.0785,1.7,-2.5
2016-05-19 09:43:23.0791,1.6,-2.4
2016-05-19 09:43:23.0797,1.3,-2.2
2016-05-19 09:43:23.0803,0.9,-2.1
2016-05-19 09:43:23.0809,0.7,-1.9
2016-05-19 09:43:23.0815,0.4,-1.6
2016-05-19 09:43:23.0820,0.2,-1.5
2016-05-19 09:43:23.0826,0.0,-1.4
2016-05-19 09:43:23.0832,-0.4,-1.5
2016-05-19 09:43:23.0838,-1.0,-1.7
2016-05-19 09:43:23.0844,-1.7,-1.7
2016-05-19 09:43:23.0850,-2.2,-1.7
2016-05-19 09:43:23.0856,-2.5,-1.5
2016-05-19 09:43:23.0862,-2.8,-1.4
2016-05-19 09:43:23.0868,-2.8,-1.3
2016-05-19 09:43:23.0874,-3.2,-1.3
2016-05-19 09:43:23.0880,-3.5,-1.4
2016-05-19 09:43:23.0885,-3.6,-1.4
2016-05-19 09:43:23.0891,-3.3,-1.6
2016-05-19 09:43:23.0897,-3.0,-1.9
2016-05-19 09:43:23.0903,-2.6,-2.1
2016-05-19 09:43:23.0909,-2.3,-2.2
2016-05-19 09:43:23.0915,-2.1,-2.4
2016-05-19 09:43:23.0921,-1.9,-2.5
2016-05-19 09:43:23.0927,-1.7,-2.6
2016-05-19 09:43:23.0933,-1.4,-2.8
2016-05-19 09:43:23.0939,-0.9,-3.0
2016-05-19 09:43:23.0944,-0.3,-3.3
2016-05-19 09:43:23.0950,0.2,-3.5
