TIME,RE,LE
2004-12-04 13:04:21.0000,0.0,0.0
2004-12-04 13:04:21.0006,0.2,0.0
2004-12-04 13:04:21.0012,0.3,0.0
2004-12-04 13:04:21.0018,0.4,0.0
2004-12-04 13:04:21.0024,0.4,0.0
2004-12-04 13:04:21.0030,0.3,0.0
2004-12-04 13:04:21.0035,0.4,0.0
2004-12-04 13:04:21.0041,0.3,0.0
2004-12-04 13:04:21.0047,0.4,0.0
2004-12-04 13:04:21.0053,0.5,0.0
2004-12-04 13:04:21.0059,0.6,0.0
2004-12-04 13:04:21.0065,0.5,0.0
2004-12-04 13:04:21.0071,0.3,0.0
2004-12-04 13:04:21.0077,0.1,0.0
2004-12-04 13:04:21.0083,0.0,0.0
2004-12-04 13:04:21.0089,0.0,0.0
2004-12-04 13:04:21.0094,-0.2,0.0
2004-12-04 13:04:21.0100,-0.3,0.0
2004-12-04 13:04:21.0106,-0.3,0.0
2004-12-04 13:04:21.0112,-0.4,0.0
2004-12-04 13:04:21.0118,-0.4,0.0
2004-12-04 13:04:21.0124,-0.3,-0.1
2004-12-04 13:04:21.0130,-0.3,0.0
2004-12-04 13:04:21.0136,-0.4,0.0
2004-12-04 13:04:21.0142,-0.5,-0.1
2004-12-04 13:04:21.0148,-0.6,-0.1
2004-12-04 13:04:21.0153,-0.6,-0.1
2004-12-04 13:04:21.0159,-0.5,-0.1
2004-12-04 13:04:21.0165,-0.5,-0.1
2004-12-04 13:04:21.0171,-0.4,-0.2
2004-12-04 13:04:21.0177,-0.4,-0.2
2004-12-04 13:04:21.0183,-0.4,-0.2
2004-12-04 13:04:21.0189,-0.5,-0.2
2004-12-04 13:04:21.0195,-0.6,-0.2
2004-12-04 13:04:21.0201,-0.8,-0.2
2004-12-04 13:04:21.0207,-0.8,-0.3
2004-12-04 13:04:21.0212,-0.8,-0.4
2004-12-04 13:04:21.0218,-0.8,-0.2
2004-12-04 13:04:21.0224,-0.7,-0.3
2004-12-04 13:04:21.0230,-0.4,-0.2
2004-12-04 13:04:21.0236,-0.2,-0.3
2004-12-04 13:04:21.0242,0.0,-0.3
2004-12-04 13:04:21.0248,0.1,-0.3
2004-12-04 13:04:21.0254,0.2,-0.3
2004-12-04 13:04:21.0260,0.1,-0.3
2004-12-04 13:04:21.0266,0.1,-0.3
2004-12-04 13:04:21.0272,0.0,-0.3
2004-12-04 13:04:21.0277,-0.1,-0.3
2004-12-04 13:04:21.0283,-0.2,-0.3
2004-12-04 13:04:21.0289,-0.3,-0.3
2004-12-04 13:04:21.0295,-0.2,-0.3
2004-12-04 13:04:21.0301,-0.2,-0.3
2004-12-04 13:04:21.0307,-0.1,-0.4
2004-12-04 13:04:21.0313,-0.1,-0.4
2004-12-04 13:04:21.0319,-0.3,-0.4
2004-12-04 13:04:21.0325,-0.4,-0.3
2004-12-04 13:04:21.0331,-0.5,-0.4
2004-12-04 13:04:21.0336,-0.5,-0.4
2004-12-04 13:04:21.0342,-0.6,-0.4
2004-12-04 13:04:21.0348,-0.6,-0.5
2004-12-04 13:04:21.0354,-0.5,-0.4
2004-12-04 13:04:21.0360,-0.4,-0.5
2004-12-04 13:04:21.0366,-0.4,-0.5
2004-12-04 13:04:21.0372,-0.4,-0.5
2004-12-04 13:04:21.0378,-0.4,-0.5
2004-12-04 13:04:21.0384,-0.3,-0.6
2004-12-04 13:04:21.0390,-0.1,-0.6
2004-12-04 13:04:21.0395,-0.1,-0.7
2004-12-04 13:04:21.0401,-0.1,-0.6
2004-12-04 13:04:21.0407,-0.2,-0.6
2004-12-04 13:04:21.0413,-0.3,-0.6
2004-12-04 13:04:21.0419,-0.3,-0.6
2004-12-04 13:04:21.0425,-0.4,-0.5
2004-12-04 13:04:21.0431,-0.4,-0.6
2004-12-04 13:04:21.0437,-0.2,-0.6
2004-12-04 13:04:21.0443,0.0,-0.6
2004-12-04 13:04:21.0449,0.1,-0.5
2004-12-04 13:04:21.0455,0.1,-0.6
2004-12-04 13:04:21.0460,0.2,-0.6
2004-12-04 13:04:21.0466,0.1,-0.7
2004-12-04 13:04:21.0472,0.0,-0.7
2004-12-04 13:04:21.0478,0.0,-0.7
2004-12-04 13:04:21.0484,-0.2,-0.6
2004-12-04 13:04:21.0490,-0.3,-0.7
2004-12-04 13:04:21.0496,-0.5,-0.7
2004-12-04 13:04:21.0502,-0.5,-0.7
2004-12-04 13:04:21.0508,-0.5,-0.7
2004-12-04 13:04:21.0514,-0.4,-0.8
2004-12-04 13:04:21.0519,-0.3,-0.8
2004-12-04 13:04:21.0525,-0.2,-0.7
2004-12-04 13:04:21.0531,0.0,-0.9
2004-12-04 13:04:21.0537,0.0,-0.8
2004-12-04 13:04:21.0543,0.1,-0.8
2004-12-04 13:04:21.0549,0.1,-0.9
2004-12-04 13:04:21.0555,0.0,-0.9
2004-12-04 13:04:21.0561,-0.1,-0.9
2004-12-04 13:04:21.0567,0.0,-0.9
2004-12-04 13:04:21.0573,0.0,-1.0
2004-12-04 13:04:21.0578,0.0,-1.0
2004-12-04 13:04:21.0584,0.0,-1.0
2004-12-04 13:04:21.0590,-0.2,-1.0
2004-12-04 13:04:21.0596,-0.2,-1.0
2004-12-04 13:04:21.0602,-0.2,-1.0
2004-12-04 13:04:21.0608,-0.2,-1.0
2004-12-04 13:04:21.0614,-0.2,-1.0
2004-12-04 13:04:21.0620,0.0,-1.1
2004-12-04 13:04:21.0626,0.0,-1.1
2004-12-04 13:04:21.0632,0.1,-1.1
2004-12-04 13:04:21.0637,0.1,-1.0
2004-12-04 13:04:21.0643,0.2,-1.0
2004-12-04 13:04:21.0649,0.3,-1.0
2004-12-04 13:04:21.0655,0.4,-1.1
2004-12-04 13:04:21.0661,0.4,-1.0
2004-12-04 13:04:21.0667,0.5,-1.0
2004-12-04 13:04:21.0673,0.5,-1.0
2004-12-04 13:04:21.0679,0.5,-1.0
2004-12-04 13:04:21.0685,0.5,-1.0
2004-12-04 13:04:21.0691,0.4,-1.0
2004-12-04 13:04:21.0697,0.3,-1.0
2004-12-04 13:04:21.0702,0.2,-0.9
2004-12-04 13:04:21.0708,0.1,-0.9
2004-12-04 13:04:21.0714,0.0,-0.9
2004-12-04 13:04:21.0720,-0.1,-0.9
2004-12-04 13:04:21.0726,-0.3,-1.0
2004-12-04 13:04:21.0732,-0.5,-1.0
2004-12-04 13:04:21.0738,-0.7,-1.0
2004-12-04 13:04:21.0744,-0.6,-1.0
2004-12-04 13:04:21.0750,-0.7,-1.0
2004-12-04 13:04:21.0756,-0.7,-1.0
2004-12-04 13:04:21.0761,-0.8,-1.1
2004-12-04 13:04:21.0767,-0.9,-1.1
2004-12-04 13:04:21.0773,-0.9,-1.1
2004-12-04 13:04:21.0779,-1.1,-1.2
2004-12-04 13:04:21.0785,-1.0,-1.2
2004-12-04 13:04:21.0791,-0.9,-1.3
2004-12-04 13:04:21.0797,-0.9,-1.3
2004-12-04 13:04:21.0803,-0.8,-1.3
2004-12-04 13:04:21.0809,-0.7,-1.3
2004-12-04 13:04:21.0815,-0.6,-1.4
2004-12-04 13:04:21.0820,-0.5,-1.3
2004-12-04 13:04:21.0826,-0.5,-1.3
2004-12-04 13:04:21.0832,-0.5,-1.4
2004-12-04 13:04:21.0838,-0.5,-1.4
2004-12-04 13:04:21.0844,-0.7,-1.5
2004-12-04 13:04:21.0850,-0.7,-1.5
2004-12-04 13:04:21.0856,-0.7,-1.4
2004-12-04 13:04:21.0862,-0.6,-1.4
2004-12-04 13:04:21.0868,-0.6,-1.4
2004-12-04 13:04:21.0874,-0.6,-1.5
2004-12-04 13:04:21.0880,-0.7,-1.6
2004-12-04 13:04:21.0885,-0.8,-1.5
2004-12-04 13:04:21.0891,-1.0,-1.5
2004-12-04 13:04:21.0897,-1.1,-1.6
2004-12-04 13:04:21.0903,-1.2,-1.6
2004-12-04 13:04:21.0909,-1.3,-1.6
2004-12-04 13:04:21.0915,-1.3,-1.7
2004-12-04 13:04:21.0921,-1.5,-1.8
2004-12-04 13:04:21.0927,-1.6,-1.8
2004-12-04 13:04:21.0933,-1.6,-1.9
2004-12-04 13:04:21.0939,-1.7,-2.0
2004-12-04 13:04:21.0944,-1.6,-1.9
2004-12-04 13:04:21.0950,-1.5,-2.0
2004-12-04 13:04:21.0956,-1.3,-2.0
