TIME,RE,LE
2015-01-30 11:06:40.0000,0.0,0.0
2015-01-30 11:06:40.0006,0.0,0.1
2015-01-30 11:06:40.0012,0.0,0.2
2015-01-30 11:06:40.0018,0.0,0.3
2015-01-30 11:06:40.0024,0.1,0.4
2015-01-30 11:06:40.0030,0.3,0.4
2015-01-30 11:06:40.0035,0.4,0.4
2015-01-30 11:06:40.0041,0.6,0.4
2015-01-30 11:06:40.0047,0.7,0.2
2015-01-30 11:06:40.0053,0.8,0.3
2015-01-30 11:06:40.0059,1.0,0.5
2015-01-30 11:06:40.0065,1.1,0.5
2015-01-30 11:06:40.0071,1.1,0.6
2015-01-30 11:06:40.0077,1.0,0.5
2015-01-30 11:06:40.0083,0.8,0.2
2015-01-30 11:06:40.0089,0.6,0.0
2015-01-30 11:06:40.0094,0.4,-0.2
2015-01-30 11:06:40.0100,0.4,-0.5
2015-01-30 11:06:40.0106,0.4,-0.9
2015-01-30 11:06:40.0112,0.3,-1.0
2015-01-30 11:06:40.0118,0.4,-1.1
2015-01-30 11:06:40.0124,0.3,-1.0
2015-01-30 11:06:40.0130,0.3,-1.0
2015-01-30 11:06:40.0136,0.4,-0.7
2015-01-30 11:06:40.0142,0.5,-0.6
2015-01-30 11:06:40.0148,0.6,-0.4
2015-01-30 11:06:40.0153,0.6,-0.2
2015-01-30 11:06:40.0159,0.5,-0.2
2015-01-30 11:06:40.0165,0.4,-0.2
2015-01-30 11:06:40.0171,0.1,-0.4
2015-01-30 11:06:40.0177,0.0,-0.4
2015-01-30 11:06:40.0183,-0.1,-0.4
2015-01-30 11:06:40.0189,-0.1,-0.4
2015-01-30 11:06:40.0195,0.0,-0.4
2015-01-30 11:06:40.0201,0.0,-0.5
2015-01-30 11:06:40.0207,0.1,-0.5
2015-01-30 11:06:40.0212,0.4,-0.6
2015-01-30 11:06:40.0218,0.6,-0.7
2015-01-30 11:06:40.0224,0.7,-0.8
2015-01-30 11:06:40.0230,0.7,-0.8
2015-01-30 11:06:40.0236,0.8,-0.9
2015-01-30 11:06:40.0242,0.7,-0.9
2015-01-30 11:06:40.0248,0.6,-1.0
2015-01-30 11:06:40.0254,0.4,-1.2
2015-01-30 11:06:40.0260,0.0,-1.2
2015-01-30 11:06:40.0266,-0.1,-1.3
2015-01-30 11:06:40.0272,-0.1,-1.4
2015-01-30 11:06:40.0277,-0.2,-1.4
2015-01-30 11:06:40.0283,-0.3,-1.5
2015-01-30 11:06:40.0289,-0.4,-1.6
2015-01-30 11:06:40.0295,-0.4,-1.5
2015-01-30 11:06:40.0301,-0.4,-1.6
2015-01-30 11:06:40.0307,-0.2,-1.7
2015-01-30 11:06:40.0313,0.0,-1.8
2015-01-30 11:06:40.0319,0.0,-1.9
2015-01-30 11:06:40.0325,0.0,-1.9
2015-01-30 11:06:40.0331,-0.1,-1.8
2015-01-30 11:06:40.0336,-0.1,-1.8
2015-01-30 11:06:40.0342,-0.3,-1.8
2015-01-30 11:06:40.0348,-0.4,-1.7
2015-01-30 11:06:40.0354,-0.4,-1.7
2015-01-30 11:06:40.0360,-0.4,-1.7
2015-01-30 11:06:40.0366,-0.2,-1.7
2015-01-30 11:06:40.0372,-0.2,-1.6
2015-01-30 11:06:40.0378,0.0,-1.5
2015-01-30 11:06:40.0384,0.0,-1.3
2015-01-30 11:06:40.0390,0.3,-1.0
2015-01-30 11:06:40.0395,0.4,-0.8
2015-01-30 11:06:40.0401,0.5,-0.8
2015-01-30 11:06:40.0407,0.7,-0.7
2015-01-30 11:06:40.0413,0.8,-0.6
2015-01-30 11:06:40.0419,1.0,-0.7
2015-01-30 11:06:40.0425,1.1,-0.8
2015-01-30 11:06:40.0431,1.1,-0.8
2015-01-30 11:06:40.0437,1.3,-0.8
2015-01-30 11:06:40.0443,1.5,-0.6
2015-01-30 11:06:40.0449,1.7,-0.3
2015-01-30 11:06:40.0455,1.9,-0.1
2015-01-30 11:06:40.0460,2.2,0.1
2015-01-30 11:06:40.0466,2.4,0.5
2015-01-30 11:06:40.0472,2.6,0.7
2015-01-30 11:06:40.0478,2.8,0.8
2015-01-30 11:06:40.0484,2.8,0.8
2015-01-30 11:06:40.0490,2.8,0.8
2015-01-30 11:06:40.0496,2.7,0.7
2015-01-30 11:06:40.0502,2.9,0.8
2015-01-30 11:06:40.0508,2.7,0.8
2015-01-30 11:06:40.0514,2.7,1.0
2015-01-30 11:06:40.0519,2.8,1.1
2015-01-30 11:06:40.0525,2.9,1.2
2015-01-30 11:06:40.0531,3.1,1.5
2015-01-30 11:06:40.0537,3.2,1.6
2015-01-30 11:06:40.0543,3.3,1.7
2015-01-30 11:06:40.0549,3.3,1.8
2015-01-30 11:06:40.0555,3.4,2.0
2015-01-30 11:06:40.0561,3.4,1.9
2015-01-30 11:06:40.0567,3.3,1.8
2015-01-30 11:06:40.0573,3.3,1.7
2015-01-30 11:06:40.0578,3.1,1.6
2015-01-30 11:06:40.0584,3.2,1.5
2015-01-30 11:06:40.0590,3.2,1.1
2015-01-30 11:06:40.0596,3.0,1.1
2015-01-30 11:06:40.0602,3.0,1.0
2015-01-30 11:06:40.0608,3.1,1.0
2015-01-30 11:06:40.0614,3.1,0.9
2015-01-30 11:06:40.0620,3.2,0.9
2015-01-30 11:06:40.0626,3.3,0.8
2015-01-30 11:06:40.0632,3.2,0.8
2015-01-30 11:06:40.0637,3.4,0.7
2015-01-30 11:06:40.0643,3.3,0.5
2015-01-30 11:06:40.0649,3.3,0.4
2015-01-30 11:06:40.0655,3.2,0.3
2015-01-30 11:06:40.0661,3.3,0.2
2015-01-30 11:06:40.0667,3.2,0.1
2015-01-30 11:06:40.0673,3.0,0.1
2015-01-30 11:06:40.0679,2.6,0.0
2015-01-30 11:06:40.0685,2.2,-0.1
2015-01-30 11:06:40.0691,2.1,-0.1
2015-01-30 11:06:40.0697,1.9,-0.2
2015-01-30 11:06:40.0702,1.8,-0.2
2015-01-30 11:06:40.0708,1.6,-0.4
2015-01-30 11:06:40.0714,1.5,-0.4
2015-01-30 11:06:40.0720,1.2,-0.6
2015-01-30 11:06:40.0726,1.2,-0.8
2015-01-30 11:06:40.0732,1.0,-1.0
2015-01-30 11:06:40.0738,0.9,-1.1
2015-01-30 11:06:40.0744,0.9,-1.4
2015-01-30 11:06:40.0750,0.8,-1.6
2015-01-30 11:06:40.0756,0.5,-1.8
2015-01-30 11:06:40.0761,0.1,-2.1
2015-01-30 11:06:40.0767,0.0,-2.1
2015-01-30 11:06:40.0773,-0.1,-2.1
2015-01-30 11:06:40.0779,-0.2,-2.1
2015-01-30 11:06:40.0785,-0.2,-2.1
2015-01-30 11:06:40.0791,-0.1,-2.1
2015-01-30 11:06:40.0797,-0.1,-2.3
2015-01-30 11:06:40.0803,-0.1,-2.4
2015-01-30 11:06:40.0809,0.0,-2.4
2015-01-30 11:06:40.0815,0.0,-2.3
2015-01-30 11:06:40.0820,0.0,-2.2
2015-01-30 11:06:40.0826,0.0,-2.2
2015-01-30 11:06:40.0832,0.0,-2.3
2015-01-30 11:06:40.0838,-0.2,-2.5
2015-01-30 11:06:40.0844,-0.5,-2.7
2015-01-30 11:06:40.0850,-0.8,-2.9
2015-01-30 11:06:40.0856,-0.9,-3.0
2015-01-30 11:06:40.0862,-0.8,-2.9
2015-01-30 11:06:40.0868,-0.7,-2.9
2015-01-30 11:06:40.0874,-0.6,-2.9
2015-01-30 11:06:40.0880,-0.5,-2.8
2015-01-30 11:06:40.0885,-0.5,-2.8
2015-01-30 11:06:40.0891,-0.5,-2.7
2015-01-30 11:06:40.0897,-0.6,-2.7
2015-01-30 11:06:40.0903,-0.6,-2.7
2015-01-30 11:06:40.0909,-0.8,-2.9
2015-01-30 11:06:40.0915,-0.8,-2.9
2015-01-30 11:06:40.0921,-0.9,-3.2
2015-01-30 11:06:40.0927,-1.2,-3.3
2015-01-30 11:06:40.0933,-1.3,-3.4
2015-01-30 11:06:40.0939,-1.1,-3.5
2015-01-30 11:06:40.0944,-1.3,-3.5
2015-01-30 11:06:40.0950,-1.3,-3.5
2015-01-30 11:06:40.0956,-1.3,-3.7
2015-01-30 11:06:40.0962,-1.6,-3.8
2015-01-30 11:06:40.0968,-1.9,-4.1
2015-01-30 11:06:40.0974,-2.0,-4.2
2015-01-30 11:06:40.0980,-2.1,-4.1
2015-01-30 11:06:40.0986,-2.2,-4.1
2015-01-30 11:06:40.0992,-2.3,-4.0
2015-01-30 11:06:40.0998,-2.5,-4.0
2015-01-30 11:06:40.1003,-2.7,-4.1
2015-01-30 11:06:40.1009,-2.9,-4.0
2015-01-30 11:06:40.1015,-2.9,-4.0
2015-01-30 11:06:40.1021,-2.8,-4.0
2015-01-30 11:06:40.1027,-2.6,-4.0
2015-01-30 11:06:40.1033,-2.3,-4.0
2015-01-30 11:06:40.1039,-2.1,-4.1
2015-01-30 11:06:40.1045,-1.9,-4.2
2015-01-30 11:06:40.1051,-1.7,-4.3
2015-01-30 11:06:40.1057,-1.5,-4.3
2015-01-30 11:06:40.1062,-1.2,-4.3
2015-01-30 11:06:40.1068,-1.0,-4.2
2015-01-30 11:06:40.1074,-0.9,-4.2
2015-01-30 11:06:40.1080,-0.8,-4.1
2015-01-30 11:06:40.1086,-0.9,-4.2
2015-01-30 11:06:40.1092,-1.1,-4.2
2015-01-30 11:06:40.1098,-1.3,-4.1
2015-01-30 11:06:40.1104,-1.4,-4.0
2015-01-30 11:06:40.1110,-1.6,-3.8
2015-01-30 11:06:40.1116,-1.5,-3.7
2015-01-30 11:06:40.1122,-1.6,-3.6
2015-01-30 11:06:40.1127,-1.6,-3.7
2015-01-30 11:06:40.1133,-1.5,-3.7
2015-01-30 11:06:40.1139,-1.5,-3.8
2015-01-30 11:06:40.1145,-1.2,-3.9
2015-01-30 11:06:40.1151,-1.3,-4.1
2015-01-30 11:06:40.1157,-1.2,-4.2
2015-01-30 11:06:40.1163,-1.1,-4.3
2015-01-30 11:06:40.1169,-1.2,-4.4
2015-01-30 11:06:40.1175,-1.4,-4.4
2015-01-30 11:06:40.1181,-1.4,-4.4
2015-01-30 11:06:40.1186,-1.3,-4.3
2015-01-30 11:06:40.1192,-1.3,-4.3
2015-01-30 11:06:40.1198,-1.1,-4.2
2015-01-30 11:06:40.1204,-1.1,-4.0
2015-01-30 11:06:40.1210,-1.1,-3.9
2015-01-30 11:06:40.1216,-0.9,-3.8
2015-01-30 11:06:40.1222,-0.8,-3.7
2015-01-30 11:06:40.1228,-0.8,-3.7
2015-01-30 11:06:40.1234,-0.8,-3.7
2015-01-30 11:06:40.1240,-0.8,-3.7
2015-01-30 11:06:40.1245,-0.9,-3.7
2015-01-30 11:06:40.1251,-0.8,-3.8
2015-01-30 11:06:40.1257,-1.0,-3.9
2015-01-30 11:06:40.1263,-1.0,-3.8
2015-01-30 11:06:40.1269,-0.7,-3.8
2015-01-30 11:06:40.1275,-0.6,-3.8
2015-01-30 11:06:40.1281,-0.5,-3.8
2015-01-30 11:06:40.1287,-0.4,-3.7
2015-01-30 11:06:40.1293,-0.3,-3.6
2015-01-30 11:06:40.1299,-0.2,-3.5
2015-01-30 11:06:40.1305,0.0,-3.5
2015-01-30 11:06:40.1310,0.0,-3.4
2015-01-30 11:06:40.1316,0.1,-3.4
2015-01-30 11:06:40.1322,0.2,-3.3
2015-01-30 11:06:40.1328,0.2,-3.3
2015-01-30 11:06:40.1334,0.2,-3.4
2015-01-30 11:06:40.1340,0.1,-3.3
2015-01-30 11:06:40.1346,0.0,-3.5
2015-01-30 11:06:40.1352,-0.2,-3.5
2015-01-30 11:06:40.1358,-0.3,-3.6
2015-01-30 11:06:40.1364,-0.4,-3.8
2015-01-30 11:06:40.1369,-0.4,-3.8
2015-01-30 11:06:40.1375,-0.4,-3.7
2015-01-30 11:06:40.1381,-0.3,-3.6
2015-01-30 11:06:40.1387,0.0,-3.4
2015-01-30 11:06:40.1393,0.0,-3.3
2015-01-30 11:06:40.1399,0.1,-3.2
2015-01-30 11:06:40.1405,0.1,-3.1
2015-01-30 11:06:40.1411,0.1,-2.9
2015-01-30 11:06:40.1417,0.1,-3.0
2015-01-30 11:06:40.1423,0.0,-3.1
2015-01-30 11:06:40.1428,0.0,-3.2
2015-01-30 11:06:40.1434,0.0,-3.1
2015-01-30 11:06:40.1440,0.0,-3.1
2015-01-30 11:06:40.1446,0.0,-3.2
2015-01-30 11:06:40.1452,0.1,-3.1
2015-01-30 11:06:40.1458,0.3,-3.1
2015-01-30 11:06:40.1464,0.5,-3.0
2015-01-30 11:06:40.1470,0.7,-2.9
2015-01-30 11:06:40.1476,0.9,-2.8
2015-01-30 11:06:40.1482,1.0,-2.7
2015-01-30 11:06:40.1487,1.0,-2.7
2015-01-30 11:06:40.1493,1.1,-2.5
2015-01-30 11:06:40.1499,1.1,-2.5
